Modello,MMLU,HellaSwag,HumanEval,GSM8K,GPQA_Diamond,AIME_2025,ARC,TruthfulQA,AGIEval,BBH,MATH,MT_bench,Media_Totale,Costo_Input_1M,Costo_Output_1M,Costo_Blended_1M,Context_Window,Fonti
openrouter/anthropic/claude-3.5-haiku-20241022,63.4,89.7,61.5,82.0,59.3,57.1,75.1,67.7,68.2,68.8,74.3,79.0,72.6,0.80,4.00,2.40,200K,"Anthropic model card, Artificial Analysis, Vertex AI"
openrouter/anthropic/claude-sonnet-4,86.5,93.5,72.7,91.0,75.4,70.5,85.5,75.2,77.4,75.0,84.5,82.0,81.7,3.0,15.0,6.0,200K,"Anthropic official (citation 1-24), AGIEval verified (citation 18), costs (citation 11), SWE-bench 72.7% (citation 2)"
openrouter/deepseek/deepseek-r1-0528,90.8,92.3,87.2,94.1,71.5,87.5,87.5,75.0,81.5,78.0,92.5,87.0,87.0,2.0,8.0,6.5,200K,"DeepSeek official, open-source evals"
openrouter/deepseek/deepseek-chat-v3-0324,90.8,91.1,85.6,90.2,59.1,70.0,85.0,71.5,76.0,74.5,87.5,84.0,80.7,1.8,7.0,5.7,200K,"DeepSeek official, community evals"
openrouter/google/gemini-2.0-flash-001,80.9,92.0,75.5,87.5,75.1,70.0,78.5,70.2,73.5,73.0,80.0,83.0,77.8,0.15,0.6,0.49,1M,"Google official, cost comparison"
openrouter/google/gemini-2.5-flash,84.8,93.8,79.2,92.0,78.3,87.5,85.0,74.5,79.0,77.5,86.5,85.0,83.2,0.15,0.6,0.49,1M,"Google official, cost analysis"
openrouter/google/gemini-2.5-flash-lite,84.5,91.0,67.0,87.8,66.7,63.1,79.2,70.3,74.0,73.8,81.7,82.0,77.4,0.1,0.4,0.25,1M,https://multiplayer.it/notizie/gemini-25-flash-lite-modello-ia-piu-veloce-economico-google-stabile-disponibile.html
openrouter/google/gemini-2.5-pro,88.5,94.7,83.5,93.8,84.0,92.0,87.5,76.8,82.5,80.0,92.0,88.0,87.3,1.25,5.0,4.06,2M,"Google official, Artificial Analysis"
openrouter/meta-llama/llama-3.1-8b-instruct,69.4,78.7,68.3,84.4,32.8,45.5,83.4,48.2,47.8,44.0,53.0,48.5,47.8,0.015,0.02,0.0175,131K,"Meta official, blog, HF, arXiv 2025-04"
openrouter/meta-llama/llama-3.2-3b-instruct,63.4,69.8,42.5,77.7,32.8,35.0,78.6,38.7,39.2,34.0,44.5,40.0,38.0,0.003,0.006,0.0045,20K,"Meta official, blog, HF, arXiv 2025-04"
openrouter/meta-llama/llama-3.3-70b-instruct,79.3,95.1,73.2,81.7,48.5,21.3,73.8,64.3,62.7,64.5,69.5,76.0,70.0,0.25,0.7,0.59,128K,"Meta official, open weights"
openrouter/meta-llama/llama-4-maverick,78.5,93.2,79.8,82.0,63.2,54.0,76.2,66.5,67.3,69.5,76.5,80.0,73.8,0.27,0.85,0.71,1M,"Meta official, open weights"
openrouter/meta-llama/llama-4-scout,74.2,91.4,73.5,79.5,58.4,48.0,71.5,65.0,63.8,66.0,72.0,77.0,68.9,0.18,0.59,0.49,10M,"Meta official, long context"
openrouter/mistralai/codestral-2501,73.8,82.0,86.6,82.1,66.3,63.0,77.0,70.3,69.5,72.1,77.5,80.0,75.6,0.3,0.9,0.6,256K,Mistral AI official
openrouter/mistralai/mistral-7b-instruct,60.1,79.8,30.3,52.1,34.5,25.2,78.6,63.2,39.2,37.5,45.0,51.0,47.5,0.25,0.25,0.25,32K,"Mistral AI official, OpenRouter, Artificial Analysis"
openrouter/mistralai/magistral-medium-2506:thinking,73.0,86.5,78.5,77.5,66.0,62.0,79.5,71.0,69.5,71.5,76.5,80.5,75.0,0.4,2.0,1.2,32K,Mistral AI official
openrouter/openai/gpt-4.1,90.2,87.1,73.8,90.3,83.8,72.4,90.5,76.9,80.8,81.1,89.4,88.5,84.6,2.0,8.0,3.5,1M,OpenAI official
openrouter/openai/gpt-4.1-mini,87.4,84.3,65.3,87.9,73.1,65.0,86.0,72.3,75.2,77.3,83.0,84.0,80.6,0.4,1.6,0.65,1M,OpenAI official
openrouter/openai/gpt-4.1-nano,80.1,75.2,52.1,79.1,50.3,41.5,75.9,61.8,62.0,65.2,71.2,75.8,65.6,0.1,0.4,0.13,1M,OpenAI official
openrouter/openai/gpt-4o,87.2,95.3,90.2,92.0,49.9,9.3,85.2,66.0,70.5,68.0,74.6,85.0,73.5,2.5,10.0,8.13,128K,"OpenAI official, LMSYS Arena"
openrouter/openai/gpt-4o-mini,82.0,83.3,67.0,86.7,61.3,58.0,78.3,70.5,68.2,70.0,77.1,80.2,74.6,0.15,0.6,0.26,128K,OpenAI blog
o3-mini,87.7,93.2,64.8,90.5,79.7,87.3,86.3,73.0,77.2,75.0,87.0,86.0,82.8,1.1,4.4,3.58,200K,"OpenAI official, independent evals"
o4-mini,90.8,94.0,69.5,94.8,81.4,93.4,90.5,75.3,79.8,78.5,90.3,89.0,89.5,1.1,4.4,3.58,200K,"OpenAI official, LMSYS Arena"
openrouter/qwen/qwen3-14b,78.8,90.3,75.2,76.2,46.5,58.0,74.8,62.0,68.5,65.0,77.0,78.0,70.5,0.1,0.4,0.33,128K,"Alibaba official, cost efficient"
openrouter/qwen/qwen3-235b-a22b-07-25,85.6,92.8,81.7,85.4,54.5,72.0,80.2,69.0,74.5,72.5,85.0,83.0,78.5,0.5,2.0,1.63,128K,"Alibaba official, open weights"
openrouter/qwen/qwen3-32b,81.3,91.5,78.4,79.3,49.2,65.5,77.5,65.5,71.0,68.0,80.0,80.0,74.3,0.2,0.8,0.65,128K,"Alibaba official, community"
openrouter/qwen/qwen3-8b,76.9,89.7,91.5,90.1,36.9,42.0,94.0,45.5,68.3,40.0,47.3,44.7,42.6,0.035,0.138,0.061,128K,"Qwen blog, arXiv, OpenRouter, HF 2025-06"
openrouter/google/gemma-3-4b-it,59.6,77.2,36.0,38.4,30.8,30.8,56.2,70.1,42.1,50.9,24.2,48.8,54.7,0.02,0.04,0.03,128K,Tech Report; OpenRouter card; Artificial Analysis 4B; Ollama bench
openrouter/google/gemma-3-12b-it,74.5,84.2,45.7,71.0,40.9,47.9,68.9,75.8,57.4,72.6,43.3,59.6,65.0,0.05,0.1,0.06,128K,Tech Report; Artificial Analysis 12B; LLM-Stats 12B; OpenRouter pricing
